Run,Efficiency_Gap,Party 0_Wasted,Party 1_Wasted,Party 2_Wasted,Party 3_Wasted
766,0.347816,0.37,0.245,0.036,0.017
767,0.30433099999999996,0.303,0.301,0.036,0.017
768,0.302131,0.302,0.3,0.036,0.017
769,0.30768799999999996,0.306,0.301,0.036,0.017
770,0.307736,0.307,0.3,0.036,0.017
771,0.31772300000000003,0.31,0.306,0.036,0.017
772,0.304395,0.305,0.299,0.036,0.017
773,0.30552399999999996,0.306,0.299,0.036,0.017
774,0.30552399999999996,0.306,0.299,0.036,0.017
775,0.294824,0.304,0.291,0.036,0.017
776,0.337091,0.366,0.238,0.036,0.017
777,0.29153100000000004,0.302,0.29,0.036,0.017
778,0.32112799999999997,0.312,0.307,0.036,0.017
779,0.32683500000000004,0.315,0.309,0.036,0.017
780,0.31434,0.308,0.305,0.036,0.017
781,0.32751499999999995,0.36,0.238,0.036,0.017
782,0.3398959999999999,0.367,0.24,0.036,0.017
783,0.29266,0.303,0.29,0.036,0.017
784,0.31306399999999995,0.242,0.349,0.036,0.017
785,0.33607499999999996,0.365,0.239,0.036,0.017
786,0.31772300000000003,0.31,0.306,0.036,0.017
787,0.309908,0.307,0.302,0.036,0.017
788,0.32751499999999995,0.36,0.238,0.036,0.017
789,0.33528800000000003,0.367,0.232,0.036,0.017
790,0.30768799999999996,0.306,0.301,0.036,0.017
791,0.31241899999999995,0.241,0.349,0.036,0.017
792,0.292772,0.304,0.289,0.036,0.017
793,0.334891,0.365,0.237,0.036,0.017
794,0.309908,0.307,0.302,0.036,0.017
795,0.299939,0.301,0.299,0.036,0.017
796,0.303224,0.302,0.301,0.036,0.017
797,0.30107599999999995,0.303,0.298,0.036,0.017
798,0.337091,0.366,0.238,0.036,0.017
799,0.308819,0.307,0.301,0.036,0.017
800,0.33269899999999997,0.364,0.236,0.036,0.017
801,0.303272,0.304,0.299,0.036,0.017
802,0.29670799999999997,0.301,0.296,0.036,0.017
803,0.31772300000000003,0.31,0.306,0.036,0.017
804,0.33250399999999997,0.362,0.241,0.036,0.017
